Accession,Length,Protein,Geo_Location,Collection_Date
QOI11559,1273,surface glycoprotein,USA: Washington,2020-05-15
QOI11571,1273,surface glycoprotein,USA: Washington,2020-09-09
QOI11583,1273,surface glycoprotein,USA: Washington,2020-09-09
QOI11595,1273,surface glycoprotein,"USA: Washington,King County",2020-09-06
QOI11607,1273,surface glycoprotein,"USA: Washington,King County",2020-09-07
QOI11619,1273,surface glycoprotein,"USA: Washington,King County",2020-09-13
QOI11631,1273,surface glycoprotein,"USA: Washington,King County",2020-09-09
QOI11643,1273,surface glycoprotein,"USA: Washington,King County",2020-09-08
QOI11655,1273,surface glycoprotein,USA: Washington,2020-09-09
QOI11667,1273,surface glycoprotein,"USA: Washington,King County",2020-09-16
QOI11679,1273,surface glycoprotein,"USA: Washington,King County",2020-09-16
QOI11691,1273,surface glycoprotein,"USA: Washington,King County",2020-09-13
QOI11703,1273,surface glycoprotein,"USA: Washington,King County",2020-09-09
QOI11727,1273,surface glycoprotein,"USA: Washington,King County",2020-09-09
QOI11739,1273,surface glycoprotein,"USA: Washington,King County",2020-09-16
QOI11751,1273,surface glycoprotein,"USA: Washington,King County",2020-09-14
QOI11775,1273,surface glycoprotein,"USA: Washington,King County",2020-09-16
QOI11799,1273,surface glycoprotein,"USA: Washington,King County",2020-08-28
QOI11811,1273,surface glycoprotein,"USA: Washington,King County",2020-09-18
QOI11823,1273,surface glycoprotein,"USA: Washington,King County",2020-09-18
QOI11835,1273,surface glycoprotein,"USA: Washington,King County",2020-09-13
QOI11847,1273,surface glycoprotein,"USA: Washington,King County",2020-08-31
QOI11859,1273,surface glycoprotein,"USA: Washington,King County",2020-09-18
QOI11871,1273,surface glycoprotein,"USA: Washington,King County",2020-09-02
QOI11883,1273,surface glycoprotein,"USA: Washington,King County",2020-09-07
QOI11907,1273,surface glycoprotein,"USA: Washington,King County",2020-09-02
QOI11919,1273,surface glycoprotein,"USA: Washington,King County",2020-09-05
QOI11931,1273,surface glycoprotein,"USA: Washington,King County",2020-09-02
QOI60262,1273,surface glycoprotein,"USA: Washington,King County",2020-09-01
QOI60274,1273,surface glycoprotein,"USA: Washington,King County",2020-09-01
QOI60286,1273,surface glycoprotein,"USA: Washington,King County",2020-08-31
QOI60298,1273,surface glycoprotein,"USA: Washington,King County",2020-08-31
QOI60310,1273,surface glycoprotein,"USA: Washington,King County",2020-09-03
QOI60322,1273,surface glycoprotein,USA: Washington,2020-03-03
QOF09341,1273,surface glycoprotein,USA: WA,2020-03-18
QOF09353,1273,surface glycoprotein,USA: WA,2020-03-20
QOF09365,1273,surface glycoprotein,USA: WA,2020-03-20
QOF12293,1273,surface glycoprotein,USA: WA,2020-03-18
QOF12305,1273,surface glycoprotein,USA: WA,2020-03-18
QOF12329,1273,surface glycoprotein,USA: WA,2020-03-18
QOF12353,1273,surface glycoprotein,USA: WA,2020-03-18
QOF12365,1273,surface glycoprotein,USA: WA,2020-03-18
QOF12377,1273,surface glycoprotein,USA: WA,2020-03-18
QOF12389,1273,surface glycoprotein,USA: WA,2020-03-18
QOF14249,1273,surface glycoprotein,USA: WA,2020-03-21
QOF14261,1273,surface glycoprotein,USA: WA,2020-03-20
QOF15809,1273,surface glycoprotein,USA: WA,2020-03-21
QOF17129,1273,surface glycoprotein,USA: WA,2020-03-17
QOF17141,1273,surface glycoprotein,USA: WA,2020-03-17
QOF18377,1273,surface glycoprotein,USA: WA,2020-03-19
QOF18389,1273,surface glycoprotein,USA: WA,2020-03-19
QOF18401,1273,surface glycoprotein,USA: WA,2020-03-19
QOF18413,1273,surface glycoprotein,USA: WA,2020-03-19
QOF18425,1273,surface glycoprotein,USA: WA,2020-03-20
QOF20117,1273,surface glycoprotein,USA: WA,2020-03-16
QOF20129,1273,surface glycoprotein,USA: WA,2020-03-16
QOF20141,1273,surface glycoprotein,USA: WA,2020-03-16
QNR99359,1273,surface glycoprotein,"USA: Washington,King County",2020-08-14
QNR99371,1273,surface glycoprotein,"USA: Washington,King County",2020-08-09
QNR99383,1273,surface glycoprotein,"USA: Washington,King County",2020-08-05
QNR99395,1273,surface glycoprotein,"USA: Washington,King County",2020-08-12
QNR99419,1273,surface glycoprotein,"USA: Washington,King County",2020-08-13
QNR99431,1273,surface glycoprotein,"USA: Washington,King County",2020-08-01
QNR99443,1273,surface glycoprotein,"USA: Washington,King County",2020-08-14
QNR99455,1273,surface glycoprotein,"USA: Washington,King County",2020-08-11
QNR99467,1273,surface glycoprotein,"USA: Washington,King County",2020-08-11
QNR99479,1273,surface glycoprotein,"USA: Washington,King County",2020-08-16
QNR99491,1273,surface glycoprotein,"USA: Washington,King County",2020-08-23
QNR99503,1273,surface glycoprotein,"USA: Washington,King County",2020-08-13
QNR99515,1273,surface glycoprotein,"USA: Washington,King County",2020-08-29
QNR99527,1273,surface glycoprotein,"USA: Washington,King County",2020-08-23
QNR99539,1273,surface glycoprotein,"USA: Washington,King County",2020-07-13
QNR99551,1273,surface glycoprotein,"USA: Washington,King County",2020-08-06
QNR99563,1273,surface glycoprotein,"USA: Washington,King County",2020-08-09
QNR99587,1273,surface glycoprotein,USA: Washington,2020-08-12
QNR99599,1273,surface glycoprotein,"USA: Washington,King County",2020-08-14
QNR99623,1273,surface glycoprotein,"USA: Washington,King County",2020-08-29
QNR99635,1273,surface glycoprotein,"USA: Washington,King County",2020-08-10
QNR99647,1273,surface glycoprotein,"USA: Washington,King County",2020-08-22
QNR99683,1273,surface glycoprotein,"USA: Washington,King County",2020-08-24
QNR99695,1273,surface glycoprotein,"USA: Washington,King County",2020-08-14
QNR99707,1273,surface glycoprotein,"USA: Washington,King County",2020-08-03
QNR99719,1273,surface glycoprotein,"USA: Washington,King County",2020-08-19
QNR54368,1273,surface glycoprotein,USA: Washington,2020-05-19
QNR54380,1273,surface glycoprotein,USA: Washington,2020-08-06
QNR54392,1273,surface glycoprotein,USA: Washington,2020-05-11
QNM94046,1273,surface glycoprotein,"USA: Washington,King County",2020-06-29
QNM94058,1273,surface glycoprotein,"USA: Washington,King County",2020-07-30
QNM94070,1273,surface glycoprotein,"USA: Washington,King County",2020-07-12
QNM94082,1273,surface glycoprotein,"USA: Washington,King County",2020-07-13
QNM94094,1273,surface glycoprotein,"USA: Washington,King County",2020-07-07
QNM94106,1273,surface glycoprotein,"USA: Washington,King County",2020-07-27
QNM94118,1273,surface glycoprotein,"USA: Washington,King County",2020-07-16
QNM94130,1273,surface glycoprotein,"USA: Washington,King County",2020-07-30
QNM94142,1273,surface glycoprotein,"USA: Washington,King County",2020-07-02
QNM94154,1273,surface glycoprotein,"USA: Washington,King County",2020-07-17
QNM94166,1273,surface glycoprotein,"USA: Washington,King County",2020-07-16
QNM94178,1273,surface glycoprotein,"USA: Washington,King County",2020-07-15
QNM94190,1273,surface glycoprotein,"USA: Washington,King County",2020-07-21
QNM94202,1273,surface glycoprotein,"USA: Washington,King County",2020-07-16
QNM94214,1273,surface glycoprotein,"USA: Washington,King County",2020-07-17
QNM94226,1273,surface glycoprotein,"USA: Washington,King County",2020-07-12
QNM94238,1273,surface glycoprotein,"USA: Washington,King County",2020-07-04
QNM94250,1273,surface glycoprotein,"USA: Washington,King County",2020-07-03
QNM94262,1273,surface glycoprotein,"USA: Washington,King County",2020-07-19
QNM94274,1273,surface glycoprotein,"USA: Washington,King County",2020-07-18
QNM94286,1273,surface glycoprotein,"USA: Washington,King County",2020-07-08
QNM94310,1273,surface glycoprotein,"USA: Washington,King County",2020-07-07
QNM94334,1273,surface glycoprotein,"USA: Washington,King County",2020-07-02
QNM94346,1273,surface glycoprotein,"USA: Washington,King County",2020-06-29
QNM94358,1273,surface glycoprotein,"USA: Washington,King County",2020-07-16
QNM94370,1273,surface glycoprotein,"USA: Washington,King County",2020-07-09
QNM94382,1273,surface glycoprotein,"USA: Washington,King County",2020-07-02
QNM94394,1273,surface glycoprotein,"USA: Washington,King County",2020-07-13
QNM94406,1273,surface glycoprotein,"USA: Washington,King County",2020-07-28
QNM94418,1273,surface glycoprotein,"USA: Washington,King County",2020-07-19
QNM94430,1273,surface glycoprotein,"USA: Washington,King County",2020-07-28
QNM94442,1273,surface glycoprotein,"USA: Washington,King County",2020-07-28
QNM94454,1273,surface glycoprotein,"USA: Washington,King County",2020-07-29
QNM94466,1273,surface glycoprotein,"USA: Washington,King County",2020-07-08
QNM94478,1273,surface glycoprotein,"USA: Washington,King County",2020-07-27
QNM94490,1273,surface glycoprotein,"USA: Washington,King County",2020-07-11
QNM94502,1273,surface glycoprotein,"USA: Washington,King County",2020-07-29
QNM94526,1273,surface glycoprotein,"USA: Washington,King County",2020-07-28
QNM94538,1273,surface glycoprotein,"USA: Washington,King County",2020-06-25
QNM94550,1273,surface glycoprotein,"USA: Washington,King County",2020-07-27
QNM94586,1273,surface glycoprotein,"USA: Washington,King County",2020-07-02
QNM94598,1273,surface glycoprotein,"USA: Washington,King County",2020-07-11
QNM94610,1273,surface glycoprotein,"USA: Washington,King County",2020-07-03
QNM94634,1273,surface glycoprotein,"USA: Washington,King County",2020-06-29
QNM80949,1273,surface glycoprotein,USA: Washington,2020-07-16
QNM80961,1273,surface glycoprotein,USA: Washington,2020-06-26
QNM80973,1273,surface glycoprotein,USA: Washington,2020-06-20
QNM80985,1273,surface glycoprotein,USA: Washington,2020-06-18
QNM80997,1273,surface glycoprotein,USA: Washington,2020-07-27
QMT48877,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-10
QMT48889,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT48901,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT48913,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT48937,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT48949,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT48961,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT48973,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT48985,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT49009,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49021,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49033,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49057,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-10
QMT49069,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49081,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49093,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT49105,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-10
QMT49117,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49129,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49141,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49153,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-10
QMT49177,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49189,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49201,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT49213,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT49225,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT49237,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49249,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49261,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49285,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49297,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49309,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT49321,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT49333,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49345,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49357,1273,surface glycoprotein,"USA: Washington,Pierce County",2020-06-09
QMT49369,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49381,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT49393,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49405,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49417,1273,surface glycoprotein,"USA: Washington,Pierce County",2020-06-09
QMT49429,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-07
QMT49441,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49453,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49465,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT49477,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT49489,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT49501,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49513,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49525,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49537,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT49549,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49561,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-07
QMT49573,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT49585,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49597,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49609,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49621,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT49645,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49657,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49669,1273,surface glycoprotein,"USA: Washington,Kittitas County",2020-06-05
QMT49681,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49693,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT49705,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT49717,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT49729,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT49741,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49753,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT49765,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT49777,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT49789,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49801,1273,surface glycoprotein,"USA: Washington,Pierce County",2020-06-09
QMT49813,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT49825,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49837,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT49861,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT49873,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49885,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49897,1273,surface glycoprotein,"USA: Washington,Franklin County",2020-06-03
QMT49909,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-07
QMT49921,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49933,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49945,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT49957,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49969,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT49981,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT49993,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50005,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50017,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50029,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50041,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50053,1273,surface glycoprotein,"USA: Washington,King County",2020-06-10
QMT50065,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT50077,1273,surface glycoprotein,"USA: Washington,Kittitas County",2020-06-05
QMT50089,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT50101,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50113,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50125,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50137,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50161,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50173,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50185,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50197,1273,surface glycoprotein,"USA: Washington,Pierce County",2020-06-09
QMT50209,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50221,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50233,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50245,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50257,1273,surface glycoprotein,"USA: Washington,Franklin County",2020-06-10
QMT50269,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50281,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50293,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50305,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT50329,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50341,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50353,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50365,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-07
QMT50389,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50401,1273,surface glycoprotein,"USA: Washington,Pierce County",2020-06-09
QMT50413,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT50425,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50437,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT50449,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50461,1273,surface glycoprotein,"USA: Washington,Whatcom County",2020-06-09
QMT50473,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT50485,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-07
QMT50497,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-07
QMT50509,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50521,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT50533,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50545,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT50557,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50569,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50581,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50593,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT50605,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT50617,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50629,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-07
QMT50641,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50653,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50665,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50677,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50689,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50701,1273,surface glycoprotein,"USA: Washington,Whatcom County",2020-06-08
QMT50713,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50725,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50737,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50749,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT50761,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT50773,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50785,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50797,1273,surface glycoprotein,"USA: Washington,Spokane County",2020-06-09
QMT50809,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50821,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-10
QMT50833,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50845,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT50857,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50869,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50881,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50893,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT50905,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50917,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50929,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50941,1273,surface glycoprotein,"USA: Washington,Franklin County",2020-06-03
QMT50953,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT50965,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT50977,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT50989,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT51001,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT51013,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT51025,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-09
QMT51037,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT51049,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT51061,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-10
QMT51073,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-07
QMT51085,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT51097,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT51109,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT51121,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT51133,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT51145,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT51157,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT51169,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT51181,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT51193,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT51205,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-02
QMT51229,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT51241,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-06
QMT51253,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-04
QMT51265,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-03
QMT51277,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT51289,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
QMT51301,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT51313,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-05
QMT51325,1273,surface glycoprotein,"USA: Washington,Yakima County",2020-06-08
