Accession,Length,Protein,Geo_Location,Collection_Date
QOQ71527,1273,surface glycoprotein,USA: FL,2020-09-11
QOQ71539,1273,surface glycoprotein,USA: FL,2020-09-11
QOQ71551,1273,surface glycoprotein,USA: FL,2020-09-11
QOQ71562,1273,surface glycoprotein,USA: FL,2020-09-11
QOQ71574,1273,surface glycoprotein,USA: FL,2020-09-11
QOQ71586,1273,surface glycoprotein,USA: FL,2020-09-11
QOE87316,1273,surface glycoprotein,USA: FL,2020-09-11
QOE87328,1273,surface glycoprotein,USA: FL,2020-09-11
QOE87340,1273,surface glycoprotein,USA: FL,2020-09-11
QOE87352,1273,surface glycoprotein,USA: FL,2020-09-11
QOE87364,1273,surface glycoprotein,USA: FL,2020-09-11
QOE87244,1273,surface glycoprotein,USA: FL,2020-09-10
QOE87256,1273,surface glycoprotein,USA: FL,2020-09-10
QOE87268,1273,surface glycoprotein,USA: FL,2020-09-10
QOE87280,1273,surface glycoprotein,USA: FL,2020-09-10
QOE87292,1273,surface glycoprotein,USA: FL,2020-09-10
QOE87304,1273,surface glycoprotein,USA: FL,2020-09-10
QOE87100,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87112,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87124,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87136,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87148,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87160,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87172,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87184,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87196,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87208,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87220,1273,surface glycoprotein,USA: FL,2020-09-09
QOE87232,1273,surface glycoprotein,USA: FL,2020-09-09
QOD06721,1273,surface glycoprotein,USA: FL,2020-09-08
QOD06733,1273,surface glycoprotein,USA: FL,2020-09-08
QOD06757,1273,surface glycoprotein,USA: FL,2020-09-08
QOD06769,1273,surface glycoprotein,USA: FL,2020-09-08
QOD06781,1273,surface glycoprotein,USA: FL,2020-09-08
QOD06745,1273,surface glycoprotein,USA: FL,2020-09-07
QOQ71384,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71396,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71408,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71420,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71432,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71444,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71456,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71468,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71480,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71491,1273,surface glycoprotein,USA: FL,2020-09-04
QOQ71503,1273,surface glycoprotein,USA: FL,2020-09-04
QOD06697,1273,surface glycoprotein,USA: FL,2020-09-04
QOD06709,1273,surface glycoprotein,USA: FL,2020-09-04
QOE87076,1273,surface glycoprotein,USA: FL,2020-09-03
QOE87088,1273,surface glycoprotein,USA: FL,2020-09-03
QOD06637,1273,surface glycoprotein,USA: FL,2020-09-03
QOD06649,1273,surface glycoprotein,USA: FL,2020-09-03
QOD06661,1273,surface glycoprotein,USA: FL,2020-09-03
QOD06673,1273,surface glycoprotein,USA: FL,2020-09-03
QOD06685,1273,surface glycoprotein,USA: FL,2020-09-03
QOD06469,1273,surface glycoprotein,USA: FL,2020-09-01
QOD06577,1273,surface glycoprotein,USA: FL,2020-09-01
QOD06589,1273,surface glycoprotein,USA: FL,2020-09-01
QOD06601,1273,surface glycoprotein,USA: FL,2020-09-01
QOD06481,1273,surface glycoprotein,USA: FL,2020-08-31
QOD06493,1273,surface glycoprotein,USA: FL,2020-08-31
QOD06505,1273,surface glycoprotein,USA: FL,2020-08-31
QOD06517,1273,surface glycoprotein,USA: FL,2020-08-31
QOD06529,1273,surface glycoprotein,USA: FL,2020-08-31
QOD06541,1273,surface glycoprotein,USA: FL,2020-08-31
QOD06553,1273,surface glycoprotein,USA: FL,2020-08-31
QOD06613,1273,surface glycoprotein,USA: FL,2020-08-31
QOD06625,1273,surface glycoprotein,USA: FL,2020-08-31
QNU11352,1273,surface glycoprotein,USA: FL,2020-08-31
QNU11364,1273,surface glycoprotein,USA: FL,2020-08-31
QNU11375,1273,surface glycoprotein,USA: FL,2020-08-31
QNU11387,1273,surface glycoprotein,USA: FL,2020-08-31
QNU11399,1273,surface glycoprotein,USA: FL,2020-08-31
QNU11423,1273,surface glycoprotein,USA: FL,2020-08-31
QNU11435,1273,surface glycoprotein,USA: FL,2020-08-31
QNU11447,1273,surface glycoprotein,USA: FL,2020-08-31
QOE87004,1273,surface glycoprotein,USA: FL,2020-08-28
QOE87016,1273,surface glycoprotein,USA: FL,2020-08-28
QOE87028,1273,surface glycoprotein,USA: FL,2020-08-28
QOE87052,1273,surface glycoprotein,USA: FL,2020-08-28
QOE87064,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11232,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11244,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11256,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11268,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11280,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11292,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11304,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11316,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11328,1273,surface glycoprotein,USA: FL,2020-08-28
QNU11340,1273,surface glycoprotein,USA: FL,2020-08-28
QOE87040,1273,surface glycoprotein,USA: FL,2020-08-27
QNU11196,1273,surface glycoprotein,USA: FL,2020-08-27
QNU11208,1273,surface glycoprotein,USA: FL,2020-08-27
QNU11220,1273,surface glycoprotein,USA: FL,2020-08-27
QOQ72484,1273,surface glycoprotein,USA: FL,2020-08-26
QNU11160,1273,surface glycoprotein,USA: FL,2020-08-25
QNU11172,1273,surface glycoprotein,USA: FL,2020-08-25
QNU11184,1273,surface glycoprotein,USA: FL,2020-08-25
QNU11411,1273,surface glycoprotein,USA: FL,2020-08-25
QOQ72460,1273,surface glycoprotein,USA: FL,2020-08-22
QOQ72472,1273,surface glycoprotein,USA: FL,2020-08-22
QNN96444,1273,surface glycoprotein,USA: FL,2020-08-22
QNN96456,1273,surface glycoprotein,USA: FL,2020-08-22
QOQ72412,1273,surface glycoprotein,USA: FL,2020-08-21
QOQ72424,1273,surface glycoprotein,USA: FL,2020-08-21
QOQ72448,1273,surface glycoprotein,USA: FL,2020-08-21
QNN96432,1273,surface glycoprotein,USA: FL,2020-08-21
QNN96468,1273,surface glycoprotein,USA: FL,2020-08-21
QNN96480,1273,surface glycoprotein,USA: FL,2020-08-21
QNN96492,1273,surface glycoprotein,USA: FL,2020-08-21
QNN96504,1273,surface glycoprotein,USA: FL,2020-08-21
QNN96516,1273,surface glycoprotein,USA: FL,2020-08-21
QOQ72364,1273,surface glycoprotein,USA: FL,2020-08-20
QOQ72376,1273,surface glycoprotein,USA: FL,2020-08-20
QOQ72388,1273,surface glycoprotein,USA: FL,2020-08-20
QOQ72400,1273,surface glycoprotein,USA: FL,2020-08-20
QOQ72436,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96216,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96240,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96264,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96276,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96288,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96300,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96312,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96324,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96336,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96348,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96360,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96372,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96384,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96396,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96408,1273,surface glycoprotein,USA: FL,2020-08-20
QNN96420,1273,surface glycoprotein,USA: FL,2020-08-20
QOQ72340,1273,surface glycoprotein,USA: FL,2020-08-19
QNN95017,1273,surface glycoprotein,USA: FL,2020-08-19
QNN95029,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96061,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96073,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96085,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96097,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96109,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96133,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96145,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96156,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96168,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96180,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96192,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96228,1273,surface glycoprotein,USA: FL,2020-08-19
QNN96252,1273,surface glycoprotein,USA: FL,2020-08-19
QNN95881,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95893,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95905,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95917,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95929,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95941,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95953,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95965,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95977,1273,surface glycoprotein,USA: FL,2020-08-18
QNN95989,1273,surface glycoprotein,USA: FL,2020-08-18
QNN96001,1273,surface glycoprotein,USA: FL,2020-08-18
QNN96013,1273,surface glycoprotein,USA: FL,2020-08-18
QNN96025,1273,surface glycoprotein,USA: FL,2020-08-18
QNN96037,1273,surface glycoprotein,USA: FL,2020-08-18
QNN96121,1273,surface glycoprotein,USA: FL,2020-08-18
QNN96204,1273,surface glycoprotein,USA: FL,2020-08-18
QOQ72292,1273,surface glycoprotein,USA: FL,2020-08-17
QOQ72304,1273,surface glycoprotein,USA: FL,2020-08-17
QOQ72316,1273,surface glycoprotein,USA: FL,2020-08-17
QOQ72328,1273,surface glycoprotein,USA: FL,2020-08-17
QOQ72352,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95773,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95785,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95797,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95809,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95821,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95833,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95845,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95857,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95869,1273,surface glycoprotein,USA: FL,2020-08-17
QNN96049,1273,surface glycoprotein,USA: FL,2020-08-17
QNN95713,1273,surface glycoprotein,USA: FL,2020-08-16
QNN95761,1273,surface glycoprotein,USA: FL,2020-08-16
QNN95701,1273,surface glycoprotein,USA: FL,2020-08-15
QNN95749,1273,surface glycoprotein,USA: FL,2020-08-15
QNN95641,1273,surface glycoprotein,USA: FL,2020-08-14
QNN95653,1273,surface glycoprotein,USA: FL,2020-08-14
QNN95665,1273,surface glycoprotein,USA: FL,2020-08-14
QNN95677,1273,surface glycoprotein,USA: FL,2020-08-14
QNN95689,1273,surface glycoprotein,USA: FL,2020-08-14
QNN95725,1273,surface glycoprotein,USA: FL,2020-08-14
QNN95737,1273,surface glycoprotein,USA: FL,2020-08-14
QOQ72268,1273,surface glycoprotein,USA: FL,2020-08-13
QOQ72280,1273,surface glycoprotein,USA: FL,2020-08-13
QOD06457,1273,surface glycoprotein,USA: FL,2020-08-13
QOQ72233,1273,surface glycoprotein,USA: FL,2020-08-12
QOQ72244,1273,surface glycoprotein,USA: FL,2020-08-12
QOQ72256,1273,surface glycoprotein,USA: FL,2020-08-12
QOQ72185,1273,surface glycoprotein,USA: FL,2020-08-11
QOQ72197,1273,surface glycoprotein,USA: FL,2020-08-11
QOQ72221,1273,surface glycoprotein,USA: FL,2020-08-11
QNN95593,1273,surface glycoprotein,USA: FL,2020-08-11
QNN95617,1273,surface glycoprotein,USA: FL,2020-08-11
QOQ72173,1273,surface glycoprotein,USA: FL,2020-08-10
QOQ72209,1273,surface glycoprotein,USA: FL,2020-08-10
QOE86848,1273,surface glycoprotein,USA: FL,2020-08-10
QOE86872,1273,surface glycoprotein,USA: FL,2020-08-10
QNU10304,1273,surface glycoprotein,USA: FL,2020-08-10
QNU10316,1273,surface glycoprotein,USA: FL,2020-08-10
QNN95545,1273,surface glycoprotein,USA: FL,2020-08-10
QNN95557,1273,surface glycoprotein,USA: FL,2020-08-10
QNN95569,1273,surface glycoprotein,USA: FL,2020-08-10
QNN95581,1273,surface glycoprotein,USA: FL,2020-08-10
QNN95605,1273,surface glycoprotein,USA: FL,2020-08-10
QNN95629,1273,surface glycoprotein,USA: FL,2020-08-10
QNU11136,1273,surface glycoprotein,USA: FL,2020-08-09
QNU11088,1273,surface glycoprotein,USA: FL,2020-08-07
QNU11100,1273,surface glycoprotein,USA: FL,2020-08-07
QNU11112,1273,surface glycoprotein,USA: FL,2020-08-07
QNU11124,1273,surface glycoprotein,USA: FL,2020-08-07
QNN95497,1273,surface glycoprotein,USA: FL,2020-08-07
QNN95509,1273,surface glycoprotein,USA: FL,2020-08-07
QNN95521,1273,surface glycoprotein,USA: FL,2020-08-07
QNN95533,1273,surface glycoprotein,USA: FL,2020-08-07
QOD06397,1273,surface glycoprotein,USA: FL,2020-08-06
QOD06409,1273,surface glycoprotein,USA: FL,2020-08-06
QOD06421,1273,surface glycoprotein,USA: FL,2020-08-06
QOD06433,1273,surface glycoprotein,USA: FL,2020-08-06
QOD06445,1273,surface glycoprotein,USA: FL,2020-08-06
QOQ72161,1273,surface glycoprotein,USA: FL,2020-08-05
QOD06361,1273,surface glycoprotein,USA: FL,2020-08-05
QOD06373,1273,surface glycoprotein,USA: FL,2020-08-05
QOD06385,1273,surface glycoprotein,USA: FL,2020-08-05
QNN95437,1273,surface glycoprotein,USA: FL,2020-08-05
QNN95485,1273,surface glycoprotein,USA: FL,2020-08-05
QOW86933,1273,surface glycoprotein,USA: FL,2020-08-04
QOW86956,1273,surface glycoprotein,USA: FL,2020-08-04
QNU11004,1273,surface glycoprotein,USA: FL,2020-08-04
QNU11016,1273,surface glycoprotein,USA: FL,2020-08-04
QNU11028,1273,surface glycoprotein,USA: FL,2020-08-04
QNN95353,1273,surface glycoprotein,USA: FL,2020-08-04
QNN95377,1273,surface glycoprotein,USA: FL,2020-08-04
QNN95401,1273,surface glycoprotein,USA: FL,2020-08-04
QNN95413,1273,surface glycoprotein,USA: FL,2020-08-04
QNN95425,1273,surface glycoprotein,USA: FL,2020-08-04
QNN95461,1273,surface glycoprotein,USA: FL,2020-08-04
QOW86825,1273,surface glycoprotein,USA: FL,2020-08-03
QOW86837,1273,surface glycoprotein,USA: FL,2020-08-03
QOW86861,1273,surface glycoprotein,USA: FL,2020-08-03
QOW86873,1273,surface glycoprotein,USA: FL,2020-08-03
QOW86897,1273,surface glycoprotein,USA: FL,2020-08-03
QOW86909,1273,surface glycoprotein,USA: FL,2020-08-03
QOW86921,1273,surface glycoprotein,USA: FL,2020-08-03
QNU10280,1273,surface glycoprotein,USA: FL,2020-08-03
QNU10292,1273,surface glycoprotein,USA: FL,2020-08-03
QNU11040,1273,surface glycoprotein,USA: FL,2020-08-03
QNU11052,1273,surface glycoprotein,USA: FL,2020-08-03
QNU11064,1273,surface glycoprotein,USA: FL,2020-08-03
QNU11076,1273,surface glycoprotein,USA: FL,2020-08-03
QNN95341,1273,surface glycoprotein,USA: FL,2020-08-03
QNN95365,1273,surface glycoprotein,USA: FL,2020-08-03
QNN95389,1273,surface glycoprotein,USA: FL,2020-08-03
QNN95449,1273,surface glycoprotein,USA: FL,2020-08-03
QNN95473,1273,surface glycoprotein,USA: FL,2020-08-03
QNO33056,1273,surface glycoprotein,USA: FL,2020-08-01
QNO33068,1273,surface glycoprotein,USA: FL,2020-08-01
QNO33080,1273,surface glycoprotein,USA: FL,2020-08-01
QNO33092,1273,surface glycoprotein,USA: FL,2020-08-01
QNO33104,1273,surface glycoprotein,USA: FL,2020-08-01
QOW86646,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86658,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86670,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86682,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86694,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86753,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86765,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86777,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86801,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86813,1273,surface glycoprotein,USA: FL,2020-07-31
QNO33116,1273,surface glycoprotein,USA: FL,2020-07-31
QNO33128,1273,surface glycoprotein,USA: FL,2020-07-31
QNO33140,1273,surface glycoprotein,USA: FL,2020-07-31
QNO33152,1273,surface glycoprotein,USA: FL,2020-07-31
QNO33164,1273,surface glycoprotein,USA: FL,2020-07-31
QNO33176,1273,surface glycoprotein,USA: FL,2020-07-31
QNO33188,1273,surface glycoprotein,USA: FL,2020-07-31
QNN95317,1273,surface glycoprotein,USA: FL,2020-07-31
QNN95329,1273,surface glycoprotein,USA: FL,2020-07-31
QOW86502,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86514,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86526,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86538,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86550,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86562,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86598,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86622,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86634,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86706,1273,surface glycoprotein,USA: FL,2020-07-30
QOD06193,1273,surface glycoprotein,USA: FL,2020-07-30
QOW86359,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86371,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86383,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86394,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86406,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86418,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86430,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86442,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86454,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86466,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86478,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86490,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86574,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86586,1273,surface glycoprotein,USA: FL,2020-07-29
QOE88032,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31208,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31220,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31232,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31244,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31256,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31268,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31280,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31292,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31304,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31316,1273,surface glycoprotein,USA: FL,2020-07-29
QNO31328,1273,surface glycoprotein,USA: FL,2020-07-29
QOW86992,1273,surface glycoprotein,USA: FL,2020-07-28
QOQ71336,1273,surface glycoprotein,USA: FL,2020-07-28
QOQ71348,1273,surface glycoprotein,USA: FL,2020-07-28
QOQ71360,1273,surface glycoprotein,USA: FL,2020-07-28
QOQ71372,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87912,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87924,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87936,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87948,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87960,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87972,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87984,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87996,1273,surface glycoprotein,USA: FL,2020-07-28
QOE88008,1273,surface glycoprotein,USA: FL,2020-07-28
QOE88020,1273,surface glycoprotein,USA: FL,2020-07-28
QNU10992,1273,surface glycoprotein,USA: FL,2020-07-28
QOE87852,1273,surface glycoprotein,USA: FL,2020-07-27
QOE87864,1273,surface glycoprotein,USA: FL,2020-07-27
QOE87876,1273,surface glycoprotein,USA: FL,2020-07-27
QOE87888,1273,surface glycoprotein,USA: FL,2020-07-27
QOE87900,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10848,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10860,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10872,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10884,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10896,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10908,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10920,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10932,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10944,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10956,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10968,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10980,1273,surface glycoprotein,USA: FL,2020-07-27
QNU10812,1273,surface glycoprotein,USA: FL,2020-07-26
QNU10824,1273,surface glycoprotein,USA: FL,2020-07-25
QNU10836,1273,surface glycoprotein,USA: FL,2020-07-25
QOE87733,1273,surface glycoprotein,USA: FL,2020-07-24
QOE87745,1273,surface glycoprotein,USA: FL,2020-07-24
QOE87757,1273,surface glycoprotein,USA: FL,2020-07-24
QOE87768,1273,surface glycoprotein,USA: FL,2020-07-24
QOE87780,1273,surface glycoprotein,USA: FL,2020-07-24
QOE87792,1273,surface glycoprotein,USA: FL,2020-07-24
